name,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat
MSE,2.166(0.141),3.128(0.318),2.16(0),2.235(0.141),2.179(0.157),2.129(0.148),2.926(0.306),2.16(0),2.175(0.146),2.153(0.164),2.008(0.136),1.989(0.154),2.16(0),2.063(0.14),2.025(0.134),1.859(0.126),1.76(0.142),2.16(0),1.909(0.11),1.844(0.103),2.481(0.131),5.881(0.361),2.16(0),2.497(0.133),2.503(0.127),2.454(0.135),4.403(0.35),2.16(0),2.484(0.153),2.479(0.152)
Accuracy,0.751(0.008),0.384(0.016),0.722(0),0.748(0.008),0.75(0.009),0.754(0.009),0.397(0.017),0.722(0),0.751(0.009),0.752(0.01),0.761(0.008),0.49(0.02),0.722(0),0.758(0.009),0.76(0.008),0.77(0.007),0.52(0.019),0.722(0),0.767(0.006),0.771(0.006),0.734(0.008),0.059(0.009),0.722(0),0.733(0.008),0.732(0.008),0.737(0.009),0.267(0.03),0.722(0),0.735(0.01),0.735(0.01)
Macro-F1,0.73(0.014),0.242(0.015),0.363(0),0.722(0.015),0.729(0.016),0.736(0.018),0.252(0.014),0.363(0),0.73(0.016),0.735(0.017),0.746(0.014),0.316(0.016),0.363(0),0.739(0.015),0.746(0.014),0.762(0.013),0.332(0.018),0.363(0),0.755(0.012),0.765(0.012),0.689(0.015),0.077(0.014),0.363(0),0.684(0.016),0.689(0.015),0.71(0.015),0.194(0.027),0.363(0),0.706(0.016),0.71(0.017)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,MSE,Accuracy,Macro-F1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.166(0.141),0.751(0.008),0.73(0.014),,CBOW1-4,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,3.128(0.318),0.384(0.016),0.242(0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.16(0),0.722(0),0.363(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.235(0.141),0.748(0.008),0.722(0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.179(0.157),0.75(0.009),0.729(0.016),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.129(0.148),0.754(0.009),0.736(0.018),,2-4,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,2.926(0.306),0.397(0.017),0.252(0.014),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.16(0),0.722(0),0.363(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.175(0.146),0.751(0.009),0.73(0.016),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.153(0.164),0.752(0.01),0.735(0.017),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.008(0.136),0.761(0.008),0.746(0.014),,SK1-4,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.989(0.154),0.49(0.02),0.316(0.016),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.16(0),0.722(0),0.363(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.063(0.14),0.758(0.009),0.739(0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.025(0.134),0.76(0.008),0.746(0.014),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,1.859(0.126),0.77(0.007),0.762(0.013),,SK2-4,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.76(0.142),0.52(0.019),0.332(0.018),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.16(0),0.722(0),0.363(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,1.909(0.11),0.767(0.006),0.755(0.012),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,1.844(0.103),0.771(0.006),0.765(0.012),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.481(0.131),0.734(0.008),0.689(0.015),,TF4,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,5.881(0.361),0.059(0.009),0.077(0.014),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.16(0),0.722(0),0.363(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.497(0.133),0.733(0.008),0.684(0.016),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.503(0.127),0.732(0.008),0.689(0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.454(0.135),0.737(0.009),0.71(0.015),,wiki,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,4.403(0.35),0.267(0.03),0.194(0.027),,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.16(0),0.722(0),0.363(0),,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.484(0.153),0.735(0.01),0.706(0.016),,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.479(0.152),0.735(0.01),0.71(0.017),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
