"X1","X2","X3","X4","X5","X6","X7","X8"
106,233,287,403,NA,NA,NA,NA
46,101,123,174,NA,NA,NA,NA
152,334,410,577,NA,NA,NA,NA
30,124,246,629,NA,NA,NA,NA
14,54,106,270,NA,NA,NA,NA
44,178,352,899,NA,NA,NA,NA
440,233,357,NA,NA,NA,NA,NA
189,100,154,NA,NA,NA,NA,NA
629,333,511,NA,NA,NA,NA,NA
159,182,80,68,193,608,NA,NA
69,78,35,30,84,261,NA,NA
228,260,115,98,277,869,NA,NA
518,6435,9145,8580,5719,3546,2558,1253
223,2759,3920,3678,2452,1520,1097,537
741,9194,13065,12258,8171,5066,3655,1790
847,268,48,45,NA,NA,NA,NA
363,116,21,20,NA,NA,NA,NA
1210,384,69,65,NA,NA,NA,NA
16818,24253,23422,26651,24686,NA,NA,NA
7208,10395,10039,11422,10580,NA,NA,NA
24026,34648,33461,38073,35266,NA,NA,NA
70,70,70,70,72,NA,NA,NA
31,30,31,31,31,NA,NA,NA
101,100,101,101,103,NA,NA,NA
143,135,138,143,138,NA,NA,NA
62,59,60,62,60,NA,NA,NA
205,194,198,205,198,NA,NA,NA
1306,1302,1310,1309,1320,NA,NA,NA
560,559,562,562,567,NA,NA,NA
1866,1861,1872,1871,1887,NA,NA,NA
107,106,109,107,107,NA,NA,NA
46,46,47,46,47,NA,NA,NA
153,152,156,153,154,NA,NA,NA
107,107,107,107,107,NA,NA,NA
47,46,47,46,47,NA,NA,NA
154,153,154,153,154,NA,NA,NA
127,126,126,127,127,NA,NA,NA
55,55,55,55,55,NA,NA,NA
182,181,181,182,182,NA,NA,NA
